GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US040130608013,040130608013,"Block Group 3, Census Tract 608.01, Maricopa County, Arizona",13791600,5199767
1500000US040130608014,040130608014,"Block Group 4, Census Tract 608.01, Maricopa County, Arizona",27430600,7050016
1500000US040130608015,040130608015,"Block Group 5, Census Tract 608.01, Maricopa County, Arizona",10622400,4768646
1500000US040130608021,040130608021,"Block Group 1, Census Tract 608.02, Maricopa County, Arizona",13106600,5000290
1500000US040130608022,040130608022,"Block Group 2, Census Tract 608.02, Maricopa County, Arizona",25448500,7582805
1500000US040130609011,040130609011,"Block Group 1, Census Tract 609.01, Maricopa County, Arizona",2334800,2400812
1500000US040130609012,040130609012,"Block Group 2, Census Tract 609.01, Maricopa County, Arizona",31511600,8557938
1500000US040130609013,040130609013,"Block Group 3, Census Tract 609.01, Maricopa County, Arizona",46073900,11294248
1500000US040130609021,040130609021,"Block Group 1, Census Tract 609.02, Maricopa County, Arizona",26243900,17235341
1500000US040130609022,040130609022,"Block Group 2, Census Tract 609.02, Maricopa County, Arizona",7869200,2980981
1500000US040130609023,040130609023,"Block Group 3, Census Tract 609.02, Maricopa County, Arizona",11865100,5256831
1500000US040130609031,040130609031,"Block Group 1, Census Tract 609.03, Maricopa County, Arizona",12136100,6434183
1500000US040130609032,040130609032,"Block Group 2, Census Tract 609.03, Maricopa County, Arizona",8696400,3310251
1500000US040130609033,040130609033,"Block Group 3, Census Tract 609.03, Maricopa County, Arizona",18795500,5907074
1500000US040130609034,040130609034,"Block Group 4, Census Tract 609.03, Maricopa County, Arizona",19482300,5866908
1500000US040130609041,040130609041,"Block Group 1, Census Tract 609.04, Maricopa County, Arizona",6218800,4955423
1500000US040130609042,040130609042,"Block Group 2, Census Tract 609.04, Maricopa County, Arizona",18127600,5260811
1500000US040130609043,040130609043,"Block Group 3, Census Tract 609.04, Maricopa County, Arizona",21150200,6167846
1500000US040130610091,040130610091,"Block Group 1, Census Tract 610.09, Maricopa County, Arizona",80934300,16379325
1500000US040130610092,040130610092,"Block Group 2, Census Tract 610.09, Maricopa County, Arizona",36539500,9767184
1500000US040130610093,040130610093,"Block Group 3, Census Tract 610.09, Maricopa County, Arizona",74927000,29730243
1500000US040130610094,040130610094,"Block Group 4, Census Tract 610.09, Maricopa County, Arizona",28907500,9135936
1500000US040130610101,040130610101,"Block Group 1, Census Tract 610.10, Maricopa County, Arizona",30544200,8290931
